# MorningStar-Lab v1.0 Genesis ledger.
# Append-only: the immutable preamble (lines 1-8) ends at the
# "--- GENESIS SEAL ---" marker below. Probe outputs are appended
# after the marker; existing lines are never rewritten or deleted.
437
1094
axioms=[] 2026-05-24
M13_CERT_SHA256=d99b0df4b6e3a5817a90e7f8da44b20261d3b670d31309779a776efbf1bcc668
--- GENESIS SEAL ---
probe ts=1779669708288147409 h=1 N=1 re=0.5 im=14.134645141734694 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000063452417604369927179 sha=12bdd7b2d2ac9418339e9a9401e9ab9e4a5bbe4b3e6bfe0a0e0f9206b219c5d8
probe ts=1779669708414151377 h=1 N=1 re=0.5 im=14.134665141734695 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000047589391403378352633 sha=8cccc0c57e7e4aa00bf90937d51c88de212b2bdfc7492d342073ab9abab17274
probe ts=1779669708543096551 h=1 N=1 re=0.5 im=14.134685141734694 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000031726313069151688007 sha=44be338de582f02dabedfec525aaea41e2784e556706018a53e7e30989331feb
probe ts=1779669708672473488 h=1 N=1 re=0.5 im=14.134705141734695 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000015863182599866026768 sha=9e4b445b52f5aaecc7d59e31eeded673e7e7bbcc065dcf52b0f9baf135fb08cb
probe ts=1779669708803537337 h=1 N=1 re=0.5 im=14.134725141734695 L_nonvanish=False RH_ok=True kms_beta=2.0 MPMATH_ZETA L_abs=6.6681863422837782815e-16 sha=4d5fad4b6d9343ebf37cd71e91e18be1fd3539e0a3b1e37f2fd5517443b511ed
probe ts=1779669708933285673 h=1 N=1 re=0.5 im=14.134745141734696 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000015863234734270748886 sha=480efe2ee2c48a1d5e43b04a145e4dc8343dcd05c0d01a019546642eced99559
probe ts=1779669709176611180 h=1 N=1 re=0.5 im=14.134765141734695 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000031726521597133908649 sha=abfb40893777846a4c8b2e7726243aa5e1d570406ff925e6ca49065aedcc5778
probe ts=1779669709300498950 h=1 N=1 re=0.5 im=14.134785141734694 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.00004758986058967124291 sha=d5107ac46255614b8a43e6ad2569758b8c49f3505f265e65e017ce972d476f77
probe ts=1779669709429153413 h=1 N=1 re=0.5 im=14.134805141734695 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000063453251712297702993 sha=6fad38e4f64bd69b5816da26c109b6acb5b7bd38da87d3cb992c32ae0e678800
probe ts=1779669796711471840 h=1 N=19 re=0.5 im=0.0 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_DIRICHLET_TRIVIAL L_abs=1.1253262074598516967 sha=6f38df0078f23d787ff2c9a2ade956c8743768ad4efdd072116ffb21e447474a
probe ts=1779669797185093097 h=1 N=1 re=0.5 im=14.134725141734695 L_nonvanish=False RH_ok=True kms_beta=2.0 MPMATH_ZETA L_abs=6.6681863422837782815e-16 sha=077a4e76c0d3ad3605991494e11ef73f725f6811512d0efd97600936c87e88bc
probe ts=1779669797338654349 h=1 N=1 re=0.5 im=21.022039638771556 L_nonvanish=False RH_ok=True kms_beta=2.0 MPMATH_ZETA L_abs=1.1609164044328830424e-15 sha=c462f469a1bbe7f238b26cd70e30d75fc186d96f4542bcc9c0c4574dafbb9687
probe ts=1779669797487762888 h=1 N=1 re=0.5 im=25.01085758014569 L_nonvanish=False RH_ok=True kms_beta=2.0 MPMATH_ZETA L_abs=8.4988448557528602897e-16 sha=b37b51fe62dd547efd3c493ed89575c4117daf9c1597df3a1e9d844394ffa6d6
probe ts=1779669797950826397 h=1 N=1 re=0.5 im=14.134625141734695 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000079315391668314642086 sha=b422a5e9ffe020916b3f48c9fec63f8815b6751f36b0050913f82df642daf87e
probe ts=1779669798080694455 h=1 N=1 re=0.5 im=14.134645141734694 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000063452417604369927179 sha=c6256c68d9e4b17bab37cb1af65b6a5e5b4543472287566ca41c0cd82daf4fb7
probe ts=1779669798207175627 h=1 N=1 re=0.5 im=14.134665141734695 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000047589391403378352633 sha=33e4778a7e59f40c54e266442743de0268a84525f9e37bb23681028479919ba9
probe ts=1779669798336109791 h=1 N=1 re=0.5 im=14.134685141734694 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000031726313069151688007 sha=8d44439a98946de24604755eafa9c7917f08bc74bb39c66bf3b6b0f861b1a292
probe ts=1779669798463889829 h=1 N=1 re=0.5 im=14.134705141734695 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000015863182599866026768 sha=f0bb2d186f11e26333606e8b0788e91e49ec086e384cb74b34c4e9110a5852ae
probe ts=1779669798599783535 h=1 N=1 re=0.5 im=14.134725141734695 L_nonvanish=False RH_ok=True kms_beta=2.0 MPMATH_ZETA L_abs=6.6681863422837782815e-16 sha=14a2259feb218c96c9d48078299de64ab03d181b64ae572b8725f47af438cb03
probe ts=1779669798731084506 h=1 N=1 re=0.5 im=14.134745141734696 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000015863234734270748886 sha=df19956ae09a2eca2f559c99a60e02f86c33db21cfd9598e0edc2994c4232a0f
probe ts=1779669798864274470 h=1 N=1 re=0.5 im=14.134765141734695 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000031726521597133908649 sha=547c280caab7a4feea1c946237bf70c557cc2f27eed78f3d0e0a54ee740d664f
probe ts=1779669798998187482 h=1 N=1 re=0.5 im=14.134785141734694 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.00004758986058967124291 sha=104d558e7a4b0f605b68a8ac081a3af5eec653fe27dfbadf0a16256a3019e68c
probe ts=1779669799125601095 h=1 N=1 re=0.5 im=14.134805141734695 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.000063453251712297702993 sha=5cb2bb2e317108303d32faa034e219661448acd7c7a572a5debae5eb2c181fd8
probe ts=1779668747256453712 h=1 N=1 re=0.5 im=14.134725141734695 L_nonvanish=False RH_ok=True kms_beta=2.0 MPMATH_ZETA L_abs=6.6681863422837782815e-16 sha=307a6993ecbe40731f76d653e4d14e1f0e7ec1a8ac0cc5c9c91e131eb629e7c6
probe ts=1779668808528087623 h=1 N=1 re=0.5 im=21.022039638771556 L_nonvanish=False RH_ok=True kms_beta=2.0 MPMATH_ZETA L_abs=1.1609164044328830424e-15 sha=5ded4ca32376b6f7a075070ba0b721341d5afa029f59bec159f33ccd21279cad
probe ts=1779668809181371198 h=1 N=1 re=0.5 im=25.01085758014569 L_nonvanish=False RH_ok=True kms_beta=2.0 MPMATH_ZETA L_abs=8.4988448557528602897e-16 sha=8149281d2878fbc0cb1a1a1380453ff92abfecf54400c40a53b7b20ada0b27f2
probe ts=1779668809819989000 h=1 N=1 re=0.5 im=25.0 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.014872483897970998206 sha=852eba9981ccf5cb7df72e507edb9b9712342bc48369e4cfacef9e3c25bc55dc
probe ts=1779668829533619090 h=1 N=1 re=0.5 im=14.13 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.0037463383557056532696 sha=ab65902c48c81d70ec0c5688152cee30206aae352bb1404bf48c892396d2b605
probe ts=1779668829704338524 h=1 N=1 re=0.5 im=14.131 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.0029537296947233561386 sha=9d2245733d60ddfc947a1c4539c1a08de6ae64db6b05d4e1010a7a1d0ea32e7c
probe ts=1779668829866619937 h=1 N=1 re=0.5 im=14.132000000000001 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.0021609902422829026611 sha=7e38c306f8cdd7e9a9d28af280f1d78779f77a187408670ce137d3b77110099f
probe ts=1779668830025124971 h=1 N=1 re=0.5 im=14.133000000000001 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.0013681201223880606336 sha=90c8fb87a7a6d69b66f512844b3e761adb8cabcc39d66dbfc880de40daa61f0f
probe ts=1779668830192528361 h=1 N=1 re=0.5 im=14.134 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.00057511945911454347916 sha=007d3e4fa8acffdd132b7946a164362876a94864039a355538faa602d6243259
probe ts=1779668830351387794 h=1 N=1 re=0.5 im=14.135000000000002 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.00021801162338577305996 sha=45d09c2d310c2a0353f094bc1a69267415ad05678cc657b7014c34025d15d99f
probe ts=1779668830514396057 h=1 N=1 re=0.5 im=14.136000000000001 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.0010112730008806300847 sha=ce025dee2c3c967156d4d38ebe2922160b04a65354de421f9a4eff6dd4fdad25
probe ts=1779668830682915581 h=1 N=1 re=0.5 im=14.137 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.0018046645490658457289 sha=e7bd9fcd83ad1bc6b75c80ce519e844ac79b7152040ed0e6bf1240f70973b4d1
probe ts=1779668830854229517 h=1 N=1 re=0.5 im=14.138 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.0025981861435596867712 sha=981108df4a064cc5196e2647f5294293ee62f20da6826f8832708482fb5c135c
probe ts=1779668831014840914 h=1 N=1 re=0.5 im=14.139000000000001 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.0033918376599056942711 sha=20014910e9f1879f82d638ee6fcf4950c86406c19be9e9a7ef877a18688197e3
probe ts=1779668831183047369 h=1 N=1 re=0.5 im=14.14 L_nonvanish=True RH_ok=False kms_beta=2.0 MPMATH_ZETA L_abs=0.0041856189735670510792 sha=63eb1b131437da2b7f9dfb96282f88100fb67a10770bd5fd5cea8ab23f5350f7
